Ward,Population_2001,Population_2011,Households_2011
1,15771,16491,3712
2,11202,11961,2896
3,12481,16638,3430
4,11759,14447,3019
5,10930,12331,2485
6,11218,11287,2263
7,11862,14806,2999
8,9686,13128,2697
9,8692,10942,2404
10,10523,12367,2545
11,10439,10986,1970
12,9112,9816,2158
13,10446,10379,2465
14,12746,13576,3396
15,10179,11007,2261
16,14534,11358,2254
17,13825,17015,4044
18,12722,16325,3585
19,14254,11161,2641
20,14031,17258,3781
21,15963,12060,2357
22,12247,22926,4847
23,15507,14821,3257
24,13603,15627,3489
25,11258,22232,5035
26,11652,11585,2584
27,12533,11782,2605
28,10300,12892,2948
29,15651,16998,3677
30,14732,19036,4131
31,10149,14816,3364
32,10107,12081,2599
33,9045,14957,3516
34,16067,9796,2336
35,13860,21697,4949
36,13888,18993,4286
37,17372,19530,4419
38,15707,14967,3206
39,12280,18885,3671
40,11501,31796,6964
41,10509,12657,2284
42,11636,11509,2284
43,10923,9289,1836
44,11283,13551,2562
45,7037,10145,2113
46,9322,8193,1870
47,13240,11953,2612
48,7864,18258,4033
49,12527,6051,1330
50,9125,19572,3939
51,9380,10345,2112
52,8232,9999,2117
53,9370,11138,2304
54,8612,11273,2064
55,9827,10934,2104
56,7664,10324,2126
57,8687,13876,2674
58,9581,10767,2158
59,7195,14946,2629
60,13659,10974,2207
61,8986,11662,2330
62,10948,11072,2206
63,14330,15338,3207
64,11546,15579,2774
65,17480,23409,4600
66,12123,14326,3105
67,15225,15892,3214
